url,filepath,filename,title,description,author,category,crawled_at
https://www.elternleben.de/haeufige-fragen/trotz-wut/,content/elternleben/haeufige-fragen/trotz-wut.md,trotz-wut.md,Trotz und Wut – Häufige Elternfragen,Die Autonomiephase eines Kindes ist sehr wichtig. Welche Entwicklungsschritte zwischen 2 und 5 Jahren passieren in dieser Phase? Hier Infos über Wut und Trotz.,,['haeufige-fragen'],2025-03-05T19:44:00.824427
https://www.elternleben.de/baby/entwicklung-baby/wie-du-dein-baby-richtig-traegst/,content/elternleben/baby/entwicklung-baby/wie-du-dein-baby-richtig-traegst.md,wie-du-dein-baby-richtig-traegst.md,Wie du dein Baby richtig trägst - Tipps zur Tragetechnik,"Erfahre, wie du dein Baby im Tragetuch oder in der Trage gesund und sicher trägst. Tipps und Anleitungen zur optimalen Tragetechnik.",Esther Howoldt,"['baby', 'entwicklung-baby']",2025-03-05T19:44:02.115949
https://www.elternleben.de/baby/babyschlaf/wie-viel-schlaf-braucht-ein-baby/,content/elternleben/baby/babyschlaf/wie-viel-schlaf-braucht-ein-baby.md,wie-viel-schlaf-braucht-ein-baby.md,Wie viel Schlaf braucht ein Baby?,"Wieviel Schlaf braucht ein Baby in den verschiedenen Phasen seines ersten Lebensjahres? Erhalte hier einige Erfahrungswerte, um den Schlaf einzuschätzen und zu verbessern.",Melanie Schüer,"['baby', 'babyschlaf']",2025-03-05T19:44:04.160184
https://www.elternleben.de/erziehung-und-foerderung/kind-ist-schuechtern/,content/elternleben/erziehung-und-foerderung/kind-ist-schuechtern.md,kind-ist-schuechtern.md,Warum ist mein Kind so schüchtern?,Mein Kind ist schüchtern. Es möchte nichts Neues probieren. Es mag keine fremden Menschen. Ist diese Schüchternheit normal oder braucht es Unterstützung.,Melanie Schüer,['erziehung-und-foerderung'],2025-03-05T19:44:05.574111
https://www.elternleben.de/baby/gesundes-baby/baby-hat-schnupfen/,content/elternleben/baby/gesundes-baby/baby-hat-schnupfen.md,baby-hat-schnupfen.md,Baby hat Schnupfen und verstopfte Nase – Was tun?,"Wenn das Baby Schnupfen hat, kann es auch für Eltern ungemütlich werden. Das kannst du gegen eine verstopfte Nase beim Baby machen.",Dr. Nikola Klün,"['baby', 'gesundes-baby']",2025-03-05T19:44:05.927799
https://www.elternleben.de/haeufige-fragen/kita/,content/elternleben/haeufige-fragen/kita.md,kita.md,Kita - Alles Wissenswertes über die Kindergarten-Zeit,"Was du über die Kindergarten-Zeit in der Kita wissen solltest: Eingewöhnung, Tagesablauf und die Entwicklung deines Kindes im Fokus.",,['haeufige-fragen'],2025-03-05T19:44:06.162671
https://www.elternleben.de/elternwissen-index/elternwissen-index/schwangerschaft-erziehung-und-bildung/,content/elternleben/elternwissen-index/elternwissen-index/schwangerschaft-erziehung-und-bildung.md,schwangerschaft-erziehung-und-bildung.md,Schwangerschaft-Erziehung und Bildung,,,"['elternwissen-index', 'elternwissen-index']",2025-03-05T19:44:06.879229
https://www.elternleben.de/kleinkind/gesundheit-ernaehrung/milchzaehne-fallen-aus-die-wackelzahnpubertaet/,content/elternleben/kleinkind/gesundheit-ernaehrung/milchzaehne-fallen-aus-die-wackelzahnpubertaet.md,milchzaehne-fallen-aus-die-wackelzahnpubertaet.md,Milchzähne fallen aus – Die Wackelzahnpubertät,"Erlebnisbericht über Kinder zwischen Größenwahn und Kuschelbedürfnis, Wackelzahnpubertät und ausfallende Milchzähne. Wie du dein Kind begleiten kannst.",Andrea Zschocher,"['kleinkind', 'gesundheit-ernaehrung']",2025-03-05T19:44:08.338395
https://www.elternleben.de/erziehung-und-foerderung/kinder-helfen-im-haushalt/,content/elternleben/erziehung-und-foerderung/kinder-helfen-im-haushalt.md,kinder-helfen-im-haushalt.md,Was Kinder im Haushalt können,Wie viel können Kinder den Eltern im Haushalt helfen? Alles über Planung und Unterstützung innerhalb der Familie und den Kindern als Helfer erfahrt ihr hier,,['erziehung-und-foerderung'],2025-03-05T19:44:08.681613
https://www.elternleben.de/baby/babynahrung/beikost-einfuehren/,content/elternleben/baby/babynahrung/beikost-einfuehren.md,beikost-einfuehren.md,"Beikost einführen: Unsere Tipps zu ""Wann"" und ""Wie""","Als Elternteil möchtest du wissen, wie du Beikost richtig einführst? Erfahre, welche Lebensmittel geeignet sind und wie du startest.",Melanie Schüer,"['baby', 'babynahrung']",2025-03-05T19:44:11.487874
